"name","year","kilom","fuel","trans","owner","mileage","engine","power","seats","pricedol"
"Audi A4 3,2 FSI Tiptronic Quattro","2012","125000","Petrol","Automatic","First","10.5","3197","","0","252000"
"Smart Fortwo CDI AT","2008","103000","Diesel","Automatic","Second","0","799","","2","42000"
"Audi TT 2,0 TFSI","2014","14262","Petrol","Automatic","First","9.9","1984","207.8","2","382900"
"Audi TT 2,0 TFSI","2013","12100","Petrol","Automatic","First","9.9","1984","207.8","2","413000"
"Porsche Boxster S tiptronic","2015","10512","Petrol","Automatic","First","8.6","2706","265","2","896000"
"BMW Z4 2009-2013 35i","2011","25000","Petrol","Automatic","First","10.37","2979","306","2","420000"
"BMW Z4 2009-2013 Roadster 2,5i","2018","9952","Petrol","Automatic","First","10.37","2979","306","2","819560"
"Mercedes-Benz SLC 43 AMG","2017","13372","Petrol","Automatic","First","19","2996","362.07","2","756000"
"Mercedes-Benz SLC 43 AMG","2019","2526","Petrol","Automatic","First","19","2996","362.07","2","1175440"
"Porsche Cayman 2009-2012 S","2010","10000","Petrol","Manual","First","9","3436","","2","560000"
"Porsche Cayman 2009-2012 S tiptronic","2011","8000","Petrol","Automatic","First","9","3436","","2","602000"
"Mercedes-Benz SLK-Class SLK 350","2015","10000","Petrol","Automatic","First","18.1","3498","306","2","770000"
"Mercedes-Benz SLK-Class SLK 350","2016","22732","Petrol","Automatic","First","18.1","3498","306","2","777560"
"Jaguar F Type 5,0 V8 S","2015","8000","Petrol","Automatic","First","12.5","5000","488.1","2","1400000"
"Lamborghini Gallardo Coupe","2011","6500","Petrol","Automatic","Third","6.4","5204","560","2","1680000"
"Mercedes-Benz SL-Class SL 500","2010","35000","Petrol","Automatic","First","8.1","5461","387.3","2","413000"
"Mercedes-Benz SLK-Class 55 AMG","2014","3000","Petrol","Automatic","Second","12","5461","421","2","1260000"
"Tata Nano XTA","2016","17800","Petrol","Automatic","Second","21.9","624","37.48","4","33320"
"Tata Nano XTA","2016","29000","Petrol","Automatic","First","21.9","624","37.48","4","39200"
"Tata Nano XTA","2016","24941","Petrol","Automatic","First","21.9","624","37.48","4","44660"
"Tata Nano XTA","2017","32684","Petrol","Automatic","First","21.9","624","37.48","4","45220"
"Tata Nano XTA","2017","18351","Petrol","Automatic","First","21.9","624","37.48","4","47740"
"Tata Nano XTA","2016","5240","Petrol","Automatic","First","21.9","624","37.48","4","50400"
