name;year;kilom;fuel;trans;owner;mileage;engine;power;seats;pricedol
Audi A4 3,2 FSI Tiptronic Quattro;2012.0;125000.0;Petrol;Automatic;First;10.5;3197.0;113.25304969366917;2.8606987256855163;1.0
Smart Fortwo CDI AT;2008.0;103000.0;Diesel;Automatic;Second;4.390378034871219;799.0;113.25304969366917;2.8606987256855163;0.0
Audi TT 2,0 TFSI;2014.0;14262.0;Petrol;Automatic;First;9.9;1984.0;207.8;2.8606987256855163;1.0
Audi TT 2,0 TFSI;2013.0;12100.0;Petrol;Automatic;First;9.9;1984.0;207.8;2.8606987256855163;1.0
Porsche Boxster S tiptronic;2015.0;10512.0;Petrol;Automatic;First;8.6;2706.0;265.0;2.8606987256855163;1.0
BMW Z4 2009-2013 35i;2011.0;25000.0;Petrol;Automatic;First;10.37;2979.0;272.94610793415325;2.8606987256855163;1.0
BMW Z4 2009-2013 Roadster 2,5i;2018.0;9952.0;Petrol;Automatic;First;10.37;2979.0;272.94610793415325;2.8606987256855163;1.0
Mercedes-Benz SLC 43 AMG;2017.0;13372.0;Petrol;Automatic;First;19.0;2996.0;272.94610793415325;2.8606987256855163;1.0
Mercedes-Benz SLC 43 AMG;2019.0;2526.0;Petrol;Automatic;First;19.0;2996.0;272.94610793415325;2.8606987256855163;1.0
Porsche Cayman 2009-2012 S;2010.0;10000.0;Petrol;Manual;First;9.0;3419.9380447197136;113.25304969366917;2.8606987256855163;1.0
Porsche Cayman 2009-2012 S tiptronic;2011.0;8000.0;Petrol;Automatic;First;9.0;3419.9380447197136;113.25304969366917;2.8606987256855163;1.0
Mercedes-Benz SLK-Class SLK 350;2015.0;10000.0;Petrol;Automatic;First;18.1;3419.9380447197136;272.94610793415325;2.8606987256855163;1.0
Mercedes-Benz SLK-Class SLK 350;2016.0;22732.0;Petrol;Automatic;First;18.1;3419.9380447197136;272.94610793415325;2.8606987256855163;1.0
Jaguar F Type 5,0 V8 S;2015.0;8000.0;Petrol;Automatic;First;12.5;3419.9380447197136;272.94610793415325;2.8606987256855163;1.0
Lamborghini Gallardo Coupe;2011.0;6500.0;Petrol;Automatic;Third;6.4;3419.9380447197136;272.94610793415325;2.8606987256855163;1.0
Mercedes-Benz SL-Class SL 500;2010.0;35000.0;Petrol;Automatic;First;8.1;3419.9380447197136;272.94610793415325;2.8606987256855163;1.0
Mercedes-Benz SLK-Class 55 AMG;2014.0;3000.0;Petrol;Automatic;Second;12.0;3419.9380447197136;272.94610793415325;2.8606987256855163;1.0
Tata Nano XTA;2016.0;17800.0;Petrol;Automatic;Second;21.9;624.0;37.48;4.0;0.0
Tata Nano XTA;2016.0;29000.0;Petrol;Automatic;First;21.9;624.0;37.48;4.0;0.0
Tata Nano XTA;2016.0;24941.0;Petrol;Automatic;First;21.9;624.0;37.48;4.0;0.0
Tata Nano XTA;2017.0;32684.0;Petrol;Automatic;First;21.9;624.0;37.48;4.0;0.0
Tata Nano XTA;2017.0;18351.0;Petrol;Automatic;First;21.9;624.0;37.48;4.0;0.0
Tata Nano XTA;2016.0;5240.0;Petrol;Automatic;First;21.9;624.0;37.48;4.0;0.0
Tata Nano XT;2011.0;50000.0;Petrol;Manual;Second;23.9;624.0;37.48;4.0;0.0
Tata Nano XT;2017.0;14149.0;Petrol;Manual;First;23.9;624.0;37.48;4.0;0.0
Tata Nano STD SE;2012.0;80000.0;Petrol;Manual;Second;25.4;624.0;37.5;4.0;0.0
Tata Nano Twist XT;2014.0;18000.0;Petrol;Manual;Second;25.4;624.0;37.5;4.0;0.0
Tata Nano Twist XT;2014.0;18050.0;Petrol;Manual;Second;25.4;624.0;37.5;4.0;0.0
Tata Nano LX;2013.0;4700.0;Petrol;Manual;First;25.4;624.0;37.48;4.0;0.0
Tata Nano CX;2014.0;59508.0;Petrol;Manual;First;25.4;624.0;37.48;4.0;0.0
Tata Nano LX SE;2014.0;19698.0;Petrol;Manual;First;25.4;624.0;37.5;4.0;0.0
